nohup: ignoring input
Starting from scratch
Epoch 1 of 2000
Found 300 cases for training
   Iteration 1 of 100, loss = 0.024611137807369232
   Iteration 2 of 100, loss = 0.035083383321762085
   Iteration 3 of 100, loss = 0.03676193952560425
   Iteration 4 of 100, loss = 0.03787430841475725
   Iteration 5 of 100, loss = 0.03781872391700745
   Iteration 6 of 100, loss = 0.037538373842835426
   Iteration 7 of 100, loss = 0.03540566324123314
   Iteration 8 of 100, loss = 0.03542733541689813
   Iteration 9 of 100, loss = 0.035566739531026945
   Iteration 10 of 100, loss = 0.0340650649741292
   Iteration 11 of 100, loss = 0.03304005719043992
   Iteration 12 of 100, loss = 0.032478247148295246
   Iteration 13 of 100, loss = 0.03151239569370563
   Iteration 14 of 100, loss = 0.031191235142094747
   Iteration 15 of 100, loss = 0.0306324885537227
   Iteration 16 of 100, loss = 0.029727222048677504
   Iteration 17 of 100, loss = 0.029150281649302032
   Iteration 18 of 100, loss = 0.02854607119742367
   Iteration 19 of 100, loss = 0.027963488705848392
   Iteration 20 of 100, loss = 0.027759658358991145
   Iteration 21 of 100, loss = 0.027145144130502428
   Iteration 22 of 100, loss = 0.027169222096827896
   Iteration 23 of 100, loss = 0.02698952048693014
   Iteration 24 of 100, loss = 0.026577675171817344
   Iteration 25 of 100, loss = 0.026625618413090704
   Iteration 26 of 100, loss = 0.02622430040859259
   Iteration 27 of 100, loss = 0.02619789375199212
   Iteration 28 of 100, loss = 0.025665946836982454
   Iteration 29 of 100, loss = 0.025383597882143383
   Iteration 30 of 100, loss = 0.024995456573863824
   Iteration 31 of 100, loss = 0.024833274344282764
   Iteration 32 of 100, loss = 0.02448043113690801
   Iteration 33 of 100, loss = 0.024477965480676205
   Iteration 34 of 100, loss = 0.024415976121364272
   Iteration 35 of 100, loss = 0.024388512835970946
   Iteration 36 of 100, loss = 0.024231175245303247
   Iteration 37 of 100, loss = 0.0239099769324467
   Iteration 38 of 100, loss = 0.02392873935107338
   Iteration 39 of 100, loss = 0.023767584767670203
   Iteration 40 of 100, loss = 0.023423078935593367
   Iteration 41 of 100, loss = 0.02328675794528752
   Iteration 42 of 100, loss = 0.02314207951227824
   Iteration 43 of 100, loss = 0.02299900643180969
   Iteration 44 of 100, loss = 0.02281272534111684
   Iteration 45 of 100, loss = 0.022645749958852927
   Iteration 46 of 100, loss = 0.02260011408235068
   Iteration 47 of 100, loss = 0.022451587734704324
   Iteration 48 of 100, loss = 0.02257152887371679
   Iteration 49 of 100, loss = 0.022523094310748334
   Iteration 50 of 100, loss = 0.022413593903183936
   Iteration 51 of 100, loss = 0.022121571862668384
   Iteration 52 of 100, loss = 0.022190549142228868
   Iteration 53 of 100, loss = 0.022204365669134654
   Iteration 54 of 100, loss = 0.02197849436628598
   Iteration 55 of 100, loss = 0.021815453435886988
   Iteration 56 of 100, loss = 0.021806239350033656
   Iteration 57 of 100, loss = 0.02165526877108373
   Iteration 58 of 100, loss = 0.021482564733716947
   Iteration 59 of 100, loss = 0.021240106515460096
   Iteration 60 of 100, loss = 0.021265517051021258
   Iteration 61 of 100, loss = 0.02111638148055702
   Iteration 62 of 100, loss = 0.020914281523155588
   Iteration 63 of 100, loss = 0.020761176441160458
   Iteration 64 of 100, loss = 0.02071460839943029
   Iteration 65 of 100, loss = 0.020609865337610243
   Iteration 66 of 100, loss = 0.020491776225919075
   Iteration 67 of 100, loss = 0.020578486650292552
   Iteration 68 of 100, loss = 0.02038725545657251
   Iteration 69 of 100, loss = 0.020382807448344385
   Iteration 70 of 100, loss = 0.020357670881120223
   Iteration 71 of 100, loss = 0.02017339305217627
   Iteration 72 of 100, loss = 0.02003484557563853
   Iteration 73 of 100, loss = 0.020031009602985563
   Iteration 74 of 100, loss = 0.020030656495962192
   Iteration 75 of 100, loss = 0.019913822083423537
   Iteration 76 of 100, loss = 0.01989012779545431
   Iteration 77 of 100, loss = 0.019933067691548692
   Iteration 78 of 100, loss = 0.019879930049706347
   Iteration 79 of 100, loss = 0.019849379670723706
   Iteration 80 of 100, loss = 0.019781245285412297
   Iteration 81 of 100, loss = 0.019758194403285967
   Iteration 82 of 100, loss = 0.019619411272110372
   Iteration 83 of 100, loss = 0.0194770888964006
   Iteration 84 of 100, loss = 0.01944791888707273
   Iteration 85 of 100, loss = 0.019376449084238096
   Iteration 86 of 100, loss = 0.01924768216409829
   Iteration 87 of 100, loss = 0.019193005314546412
   Iteration 88 of 100, loss = 0.01910121192287823
   Iteration 89 of 100, loss = 0.019088187888055372
   Iteration 90 of 100, loss = 0.019085286531804337
   Iteration 91 of 100, loss = 0.019073096170489277
   Iteration 92 of 100, loss = 0.018986901141824605
   Iteration 93 of 100, loss = 0.018908041033653483
   Iteration 94 of 100, loss = 0.018921970781137016
   Iteration 95 of 100, loss = 0.018945222382286662
   Iteration 96 of 100, loss = 0.018908731489015434
   Iteration 97 of 100, loss = 0.01895637050290237
   Iteration 98 of 100, loss = 0.018936550610565712
   Iteration 99 of 100, loss = 0.018947482471250825
   Iteration 100 of 100, loss = 0.018851099875755607
   End of epoch 1; saving model... 

Epoch 2 of 2000
   Iteration 1 of 100, loss = 0.009890585206449032
   Iteration 2 of 100, loss = 0.009033911395817995
   Iteration 3 of 100, loss = 0.008737790087858835
   Iteration 4 of 100, loss = 0.008592596277594566
   Iteration 5 of 100, loss = 0.007864161673933268
   Iteration 6 of 100, loss = 0.009034041392927369
   Iteration 7 of 100, loss = 0.010566937670643841
   Iteration 8 of 100, loss = 0.011413737491238862
   Iteration 9 of 100, loss = 0.01114484735040201
   Iteration 10 of 100, loss = 0.011185722192749381
   Iteration 11 of 100, loss = 0.010752941312437708
   Iteration 12 of 100, loss = 0.010309124171423415
   Iteration 13 of 100, loss = 0.010336545976595236
   Iteration 14 of 100, loss = 0.010620429879054427
   Iteration 15 of 100, loss = 0.0106516622317334
   Iteration 16 of 100, loss = 0.01047414739150554
   Iteration 17 of 100, loss = 0.010346692384165876
   Iteration 18 of 100, loss = 0.010473370034661558
   Iteration 19 of 100, loss = 0.010388364035047983
   Iteration 20 of 100, loss = 0.010252036107704043
   Iteration 21 of 100, loss = 0.010751421119840373
   Iteration 22 of 100, loss = 0.010793066498908129
   Iteration 23 of 100, loss = 0.010941478869189386
   Iteration 24 of 100, loss = 0.010737623631333312
   Iteration 25 of 100, loss = 0.011084843128919601
   Iteration 26 of 100, loss = 0.011121880907851916
   Iteration 27 of 100, loss = 0.011461073670674253
   Iteration 28 of 100, loss = 0.011466535440246974
   Iteration 29 of 100, loss = 0.011664898327455438
   Iteration 30 of 100, loss = 0.011751621185491482
   Iteration 31 of 100, loss = 0.011949461223858019
   Iteration 32 of 100, loss = 0.012125827342970297
   Iteration 33 of 100, loss = 0.012255674820731987
   Iteration 34 of 100, loss = 0.012345771935275373
   Iteration 35 of 100, loss = 0.012239480604018483
   Iteration 36 of 100, loss = 0.012107060640119016
   Iteration 37 of 100, loss = 0.01214035606716533
   Iteration 38 of 100, loss = 0.012157850273835816
   Iteration 39 of 100, loss = 0.0121445787521318
   Iteration 40 of 100, loss = 0.011974266276229172
   Iteration 41 of 100, loss = 0.01183706928589722
   Iteration 42 of 100, loss = 0.011793961681957756
   Iteration 43 of 100, loss = 0.011614270248385362
   Iteration 44 of 100, loss = 0.011597195132212206
   Iteration 45 of 100, loss = 0.011651916056871414
   Iteration 46 of 100, loss = 0.011567923027779098
   Iteration 47 of 100, loss = 0.01156941982620257
   Iteration 48 of 100, loss = 0.011528049003876125
   Iteration 49 of 100, loss = 0.01159577568688867
   Iteration 50 of 100, loss = 0.011717676175758243
   Iteration 51 of 100, loss = 0.011660883869683626
   Iteration 52 of 100, loss = 0.011626564297610177
   Iteration 53 of 100, loss = 0.011480680078197763
   Iteration 54 of 100, loss = 0.01157612166436458
   Iteration 55 of 100, loss = 0.011652544403279369
   Iteration 56 of 100, loss = 0.01167272451233917
   Iteration 57 of 100, loss = 0.01155900559796576
   Iteration 58 of 100, loss = 0.011478546693728402
   Iteration 59 of 100, loss = 0.011442851551445359
   Iteration 60 of 100, loss = 0.0114817505935207
   Iteration 61 of 100, loss = 0.011383563287739382
   Iteration 62 of 100, loss = 0.011417034089625362
   Iteration 63 of 100, loss = 0.011387756249556938
   Iteration 64 of 100, loss = 0.011389235158276279
   Iteration 65 of 100, loss = 0.011402897973759816
   Iteration 66 of 100, loss = 0.01139781974735811
   Iteration 67 of 100, loss = 0.011438380266581453
   Iteration 68 of 100, loss = 0.011459978934213081
   Iteration 69 of 100, loss = 0.011402980168012606
   Iteration 70 of 100, loss = 0.011447734199464321
   Iteration 71 of 100, loss = 0.011428540113421393
   Iteration 72 of 100, loss = 0.011338673868320055
