nohup: ignoring input
Loading weights from /autofs/space/nicc_005/users/olchanyi/DiffSR/model_outputs_v13/checkpoint_0055.pth
Epoch 56 of 2000
Found 300 cases for training
   Iteration 1 of 100, loss = 0.007026712875813246
   Iteration 2 of 100, loss = 0.006633861223235726
   Iteration 3 of 100, loss = 0.006277815904468298
   Iteration 4 of 100, loss = 0.006037680897861719
   Iteration 5 of 100, loss = 0.00561950895935297
   Iteration 6 of 100, loss = 0.005490783058727781
   Iteration 7 of 100, loss = 0.005485986093325275
   Iteration 8 of 100, loss = 0.005768496659584343
   Iteration 9 of 100, loss = 0.005502080182648367
   Iteration 10 of 100, loss = 0.005862887250259519
   Iteration 11 of 100, loss = 0.005876187362115492
   Iteration 12 of 100, loss = 0.006102472349690895
   Iteration 13 of 100, loss = 0.006025024510633487
   Iteration 14 of 100, loss = 0.005932586068021399
   Iteration 15 of 100, loss = 0.005859444538752238
   Iteration 16 of 100, loss = 0.006017540814355016
   Iteration 17 of 100, loss = 0.005799159969148391
   Iteration 18 of 100, loss = 0.005810460942383442
   Iteration 19 of 100, loss = 0.005678885493819651
   Iteration 20 of 100, loss = 0.00558322585420683
   Iteration 21 of 100, loss = 0.0057433894724540765
   Iteration 22 of 100, loss = 0.0059929011834108014
   Iteration 23 of 100, loss = 0.005958743241575101
   Iteration 24 of 100, loss = 0.005952879873802885
   Iteration 25 of 100, loss = 0.005887180687859654
   Iteration 26 of 100, loss = 0.005786412117931132
   Iteration 27 of 100, loss = 0.005652734432024536
   Iteration 28 of 100, loss = 0.005566588752636952
   Iteration 29 of 100, loss = 0.0057198519433109924
   Iteration 30 of 100, loss = 0.0056607429403811695
   Iteration 31 of 100, loss = 0.0056392307873935465
   Iteration 32 of 100, loss = 0.005583011552516837
   Iteration 33 of 100, loss = 0.005516326562924819
   Iteration 34 of 100, loss = 0.005445697557126337
   Iteration 35 of 100, loss = 0.005596452093284045
   Iteration 36 of 100, loss = 0.005601828588017573
   Iteration 37 of 100, loss = 0.005605094518663513
   Iteration 38 of 100, loss = 0.005591533802400686
   Iteration 39 of 100, loss = 0.005501124858617401
   Iteration 40 of 100, loss = 0.005447125347563997
