nohup: ignoring input
Loading weights from /autofs/space/nicc_005/users/olchanyi/DiffSR/models_fused/model_fused_v1/checkpoint_1100.pth
Epoch 1101 of 2000
Found 300 cases for training
   Iteration 1 of 100, tot loss = 4.8497419357299805, l1: 0.00010021883645094931, l2: 0.00038475534529425204
   Iteration 2 of 100, tot loss = 3.958925724029541, l1: 9.450610377825797e-05, l2: 0.00030138645524857566
   Iteration 3 of 100, tot loss = 4.553200085957845, l1: 0.00010600775325049956, l2: 0.0003493122397533928
   Iteration 4 of 100, tot loss = 4.5902276039123535, l1: 0.00010446665692143142, l2: 0.00035455609395285137
   Iteration 5 of 100, tot loss = 4.507484722137451, l1: 0.00010158693912671879, l2: 0.0003491615265375003
   Iteration 6 of 100, tot loss = 4.55262819925944, l1: 0.00010399507300462574, l2: 0.0003512677382483768
   Iteration 7 of 100, tot loss = 4.2942871025630405, l1: 9.896178276643955e-05, l2: 0.0003304669205265652
   Iteration 8 of 100, tot loss = 4.240352272987366, l1: 9.703571686259238e-05, l2: 0.0003269995049777208
   Iteration 9 of 100, tot loss = 4.307052294413249, l1: 9.971538060603457e-05, l2: 0.0003309898456791416
   Iteration 10 of 100, tot loss = 4.201846170425415, l1: 9.573788956913631e-05, l2: 0.00032444672397105025
   Iteration 11 of 100, tot loss = 4.17252685806968, l1: 9.620734206030399e-05, l2: 0.00032104533932976085
   Iteration 12 of 100, tot loss = 4.35585230588913, l1: 0.00010049778241712677, l2: 0.00033508744309074245
   Iteration 13 of 100, tot loss = 4.423883016292866, l1: 0.00010246485096733802, l2: 0.0003399234500158435
   Iteration 14 of 100, tot loss = 4.399600727217538, l1: 0.00010254417247779202, l2: 0.00033741589972383475
   Iteration 15 of 100, tot loss = 4.455956443150838, l1: 0.00010154316720824378, l2: 0.00034405247521741936
   Iteration 16 of 100, tot loss = 4.367108643054962, l1: 0.00010036819753622694, l2: 0.00033634266492299503
   Iteration 17 of 100, tot loss = 4.492345417247099, l1: 0.00010247808227979797, l2: 0.000346756457207341
   Iteration 18 of 100, tot loss = 4.5958943367004395, l1: 0.00010351917505128465, l2: 0.00035607025670793117
   Iteration 19 of 100, tot loss = 4.664778784701698, l1: 0.00010326754483302418, l2: 0.0003632103318140205
   Iteration 20 of 100, tot loss = 4.664935040473938, l1: 0.00010295782649336616, l2: 0.0003635356762970332
   Iteration 21 of 100, tot loss = 4.670659428551083, l1: 0.00010437958674932209, l2: 0.00036268635345290283
   Iteration 22 of 100, tot loss = 4.66308745470914, l1: 0.000105122781778019, l2: 0.00036118596207498655
   Iteration 23 of 100, tot loss = 4.605884842250658, l1: 0.0001041178147715982, l2: 0.0003564706680860937
   Iteration 24 of 100, tot loss = 4.588436345259349, l1: 0.00010444322060720879, l2: 0.0003544004121067701
   Iteration 25 of 100, tot loss = 4.5043270301818845, l1: 0.00010320737914298661, l2: 0.0003472253220388666
   Iteration 26 of 100, tot loss = 4.464879714525663, l1: 0.00010327648669772316, l2: 0.0003432114826864563
   Iteration 27 of 100, tot loss = 4.609458976321751, l1: 0.00010486189569713099, l2: 0.0003560839982970652
   Iteration 28 of 100, tot loss = 4.534262418746948, l1: 0.00010282969144879774, l2: 0.0003505965464033319
   Iteration 29 of 100, tot loss = 4.567152089086072, l1: 0.0001035404598826125, l2: 0.0003531747457474984
   Iteration 30 of 100, tot loss = 4.56587913831075, l1: 0.00010401865899135979, l2: 0.000352569252330189
   Iteration 31 of 100, tot loss = 4.607324446401289, l1: 0.00010438293623249797, l2: 0.0003563495054315295
   Iteration 32 of 100, tot loss = 4.622992470860481, l1: 0.00010459452823852189, l2: 0.00035770471640717005
   Iteration 33 of 100, tot loss = 4.589975516001384, l1: 0.00010371508643870722, l2: 0.00035528246239251035
   Iteration 34 of 100, tot loss = 4.618425818050609, l1: 0.00010464830312925829, l2: 0.00035719427636221926
   Iteration 35 of 100, tot loss = 4.625258432115827, l1: 0.00010539108084880613, l2: 0.00035713475995830126
   Iteration 36 of 100, tot loss = 4.631501661406623, l1: 0.00010528654396087707, l2: 0.00035786361938032013
   Iteration 37 of 100, tot loss = 4.670525035342655, l1: 0.00010566170818197566, l2: 0.00036139079256335626
   Iteration 38 of 100, tot loss = 4.706201779214959, l1: 0.00010616481564571394, l2: 0.00036445536074767774
   Iteration 39 of 100, tot loss = 4.746138156988682, l1: 0.00010686848261871208, l2: 0.0003677453317392904
   Iteration 40 of 100, tot loss = 4.754070389270782, l1: 0.00010730675712693483, l2: 0.00036810028104810043
   Iteration 41 of 100, tot loss = 4.746254769767203, l1: 0.00010764507737249227, l2: 0.0003669803987666056
   Iteration 42 of 100, tot loss = 4.833064249583653, l1: 0.00010906874965820905, l2: 0.0003742376727695089
   Iteration 43 of 100, tot loss = 4.828803993934809, l1: 0.0001086412462321933, l2: 0.0003742391506188311
   Iteration 44 of 100, tot loss = 4.928576079281894, l1: 0.00011049664929239292, l2: 0.00038236095596485853
   Iteration 45 of 100, tot loss = 4.914039368099637, l1: 0.00011067103833839711, l2: 0.00038073289647905364
   Iteration 46 of 100, tot loss = 4.927423404610676, l1: 0.00011131805671459955, l2: 0.00038142428219662577
   Iteration 47 of 100, tot loss = 4.935621342760451, l1: 0.00011103636163480065, l2: 0.0003825257714352313
   Iteration 48 of 100, tot loss = 4.990001519521077, l1: 0.00011155485647880899, l2: 0.0003874452941090567
   Iteration 49 of 100, tot loss = 4.969110352652414, l1: 0.0001113062279895233, l2: 0.0003856048059212614
   Iteration 50 of 100, tot loss = 5.046779499053955, l1: 0.00011243134547839873, l2: 0.00039224660256877543
   Iteration 51 of 100, tot loss = 4.996796682769177, l1: 0.00011155134644450656, l2: 0.0003881283197437833
   Iteration 52 of 100, tot loss = 4.958558064240676, l1: 0.0001108983959476553, l2: 0.00038495740843175625
   Iteration 53 of 100, tot loss = 4.9492107247406585, l1: 0.00011123187759262949, l2: 0.00038368919263549923
   Iteration 54 of 100, tot loss = 4.920588881881149, l1: 0.00011026393938798854, l2: 0.00038179494650749903
   Iteration 55 of 100, tot loss = 4.907564059170809, l1: 0.00010990879878094843, l2: 0.00038084760440555823
   Iteration 56 of 100, tot loss = 4.861876700605665, l1: 0.00010911079107245314, l2: 0.0003770768762478838
   Iteration 57 of 100, tot loss = 4.876778870298152, l1: 0.0001096323208721036, l2: 0.0003780455631306068
   Iteration 58 of 100, tot loss = 4.843299010704303, l1: 0.0001091051620058916, l2: 0.0003752247360133534
   Iteration 59 of 100, tot loss = 4.861525947764768, l1: 0.00010964764664156789, l2: 0.00037650494506756256
